"StandID","YearsBetwSurveys","CellArea_ha","cOffset","eOffset"
1,1.2,1,1.2,1.2
2,1.2,1,1.2,1.2
3,1.2,1,1.2,1.2
4,1.2,1,1.2,1.2
5,1.2,1,1.2,1.2
7,1.2,1,1.2,1.2
9,1.2,1,1.2,1.2
11,1.2,1,1.2,1.2
14,1.2,1,1.2,1.2
15,1.2,1,1.2,1.2
16,1.2,1,1.2,1.2
18,1.2,1,1.2,1.2
20,1.2,1,1.2,1.2
21,1.2,1,1.2,1.2
22,1.2,1,1.2,1.2
23,1.2,1,1.2,1.2
26,1.2,1,1.2,1.2
29,1.2,1,1.2,1.2
33,1.2,1,1.2,1.2
34,1.2,1,1.2,1.2
37,1.2,1,1.2,1.2
101,1.4,1.5625,2.1875,0.896
102,1.2,4.6875,5.625,0.256
104,1.4,1.25,1.75,1.12
105,1.4,1.25,1.75,1.12
109,1.1,1,1.1,1.1
111,1.1,1,1.1,1.1
112,1.1,1,1.1,1.1
113,1.1,1,1.1,1.1
114,1.1,0.8,0.88,1.375
116,1.1,1,1.1,1.1
117,1.1,1,1.1,1.1
118,1.1,1,1.1,1.1
121,1.1,1,1.1,1.1
122,1.1,0.8,0.88,1.375
124,1.1,1,1.1,1.1
125,1.1,1,1.1,1.1
126,1.1,0.6,0.66,1.83333333333333
129,1.1,0.4,0.44,2.75
131,1.1,0.8,0.88,1.375
132,1.1,1,1.1,1.1
133,1.1,1,1.1,1.1
134,1.1,0.8,0.88,1.375
135,1.1,1,1.1,1.1
136,1.1,1,1.1,1.1
137,1.1,1,1.1,1.1
139,1.1,1,1.1,1.1
143,1.1,1,1.1,1.1
144,1.1,0.8,0.88,1.375
146,1.1,0.6,0.66,1.83333333333333
147,1.1,1,1.1,1.1
148,1.1,1,1.1,1.1
150,1.1,1,1.1,1.1
151,1.1,1,1.1,1.1
154,1.1,0.8,0.88,1.375
157,1.1,1,1.1,1.1
158,1.1,1,1.1,1.1
160,1.1,1,1.1,1.1
164,1.1,1,1.1,1.1
166,1.1,1,1.1,1.1
168,1.1,1,1.1,1.1
171,1.1,1,1.1,1.1
175,1.1,1,1.1,1.1
312,0.9,1,0.9,0.9
314,0.9,0.8,0.72,1.125
315,0.9,0.8,0.72,1.125
318,0.9,1,0.9,0.9
321,0.9,1,0.9,0.9
322,0.9,0.6,0.54,1.5
324,0.9,1,0.9,0.9
325,0.9,1,0.9,0.9
326,0.9,1,0.9,0.9
329,0.9,1,0.9,0.9
330,0.9,1,0.9,0.9
336,0.9,1,0.9,0.9
339,0.9,0.4,0.36,2.25
349,0.9,1,0.9,0.9
363,1.6,1,1.6,1.6
364,1.6,1,1.6,1.6
365,1.6,1,1.6,1.6
367,1.6,1,1.6,1.6
372,1.5,2.5,3.75,0.6
374,1.5,1,1.5,1.5
380,1.5,1.75,2.625,0.857142857142857
381,1.5,1,1.5,1.5
382,1.5,1,1.5,1.5
383,1.5,1,1.5,1.5
384,1.5,1,1.5,1.5
385,1.5,1,1.5,1.5
386,1.5,1.75,2.625,0.857142857142857
387,1.5,1,1.5,1.5
388,1.5,1,1.5,1.5
389,1.5,1.75,2.625,0.857142857142857
390,1.5,1.75,2.625,0.857142857142857
391,1.5,1,1.5,1.5
403,1.1,1,1.1,1.1
405,1.1,0.8,0.88,1.375
407,1.1,1,1.1,1.1
408,1.1,1,1.1,1.1
409,1.1,1,1.1,1.1
411,1.1,0.8,0.88,1.375
412,1.1,1,1.1,1.1
413,1.1,1,1.1,1.1
415,1.1,1,1.1,1.1
416,1.1,1,1.1,1.1
418,1.1,1,1.1,1.1
