"Description","PERIOD","Year","DWVol_m3perHa_T2_SpruceConif.minD10","DWVol_m3perHa_T2_SpruceConif.minD5","AgeT2","SprucevolMax100m_2013_m3ha"
"45533",0,0,8,11,110,36.53
"46335",0,0,6,3,78,52.93
"25045",0,0,0,0,55,4.81
"42678",0,0,27,31,145,262.12
"23801",0,0,6,4,120,103.93
"44585",0,0,21,13,160,222.18
"45079",0,0,9,12,0.3,27.61
"44290",0,0,0,1,55,2.99
"43977",0,0,0,0,76,2.59
"44531",0,0,1,5,19.6,1.17
"43846",0,0,15,14,190,444
"41640",0,0,3,6,161,135.87
"45243",0,0,3,4,124,36.13
"46648",0,0,2,4,19.6,1.17
"47266",0,0,0,0,112,4.97
"45002",0,0,7,8,72,206.91
"46666",0,0,14,18,140,35.17
"43992",0,0,6,14,76,111.11
"44073",0,0,26,25,180,121.74
"44455",0,0,2,3,28.9,7.55
"45024",0,0,18,9,76,121.41
"43003",0,0,2,2,72,41.01
"27127",0,0,4,3,157,56.87
"23424",0,0,0,0,19.1,0.07
"44565",0,0,16,17,145,259.02
"47244",0,0,1,0,17.4,1.17
"45643",0,0,14,16,160,223.05
"1040",0,0,3,6,150,57
"1163",0,0,0,6,10.5,1.23
"28390",0,0,3,6,65,129.52
"27102",0,0,3,7,34,11.82
"45481",0,0,26,24,96,103.16
"27559",0,0,2,0,126,144.36
"46657",0,0,5,3,2.2,0.64
"25346",0,0,2,2,60,56.29
"49119",0,0,5,4,170,141.71
"23348",0,0,4,1,130,94.08
"44357",0,0,18,12,103,199.43
"42670",0,0,5,6,119,168.94
"47162",0,0,14,7,190,199.86
"43694",0,0,1,2,76,2.59
"49393",0,0,1,4,57,23
"44830",0,0,18,16,0.3,27.61
"42286",0,0,0,1,125,7.73
"48361",0,0,2,1,160,53.49
"49240",0,0,0,0,1.1,0.16
"46514",0,0,13,6,140,144.15
"26459",0,0,13,10,180,175.61
"1765",0,0,10,4,4.7,1.3
"46083",0,0,3,4,101,55.32
"44101",0,0,14,20,126,74.77
"44553",0,0,17,19,95,87.19
"45984",0,0,22,25,170,147.37
"43202",0,0,8,3,75,35.23
"44886",0,0,22,19,96,103.24
"44949",0,0,0,0,55,3.16
"44121",0,0,6,4,19.6,1.17
"42642",0,0,3,1,97,108.08
"46053",0,0,12,24,0.3,27.61
"44885",0,0,11,6,180,312.57
"46003",0,0,1,2,10.9,1.25
"43720",0,0,2,2,53,28.25
"43679",0,0,10,3,143,239.44
"49450",0,0,0,0,140,19.95
"44724",0,0,14,20,0.3,27.61
"44632",0,0,3,0,185,26.4
"1134",0,0,0,2,92,17.85
"1487",0,0,12,12,65,83.63
"42760",0,0,0,1,42.3,11.44
"45708",0,0,18,12,0.3,27.61
"45968",0,0,1,2,19.6,1.17
"1379",0,0,0,0,50,9.1
"42037",0,0,0,0,21.8,0.14
"42746",0,0,1,0,40,5.25
"46321",0,0,7,8,150,181.43
"46436",0,0,0,0,1.1,0.16
"25340",0,0,1,4,160,74.89
"45200",0,0,24,25,146,112.09
"45780",0,0,1,2,55,2.84
"28959",0,0,3,2,95,58.33
"44712",0,0,13,18,145,30.04
"28074",0,0,7,3,180,175.88
"46087",0,0,25,21,65,84.4
"46084",0,0,13,8,138,146.22
"49205",0,0,7,7,2.2,0.64
"46751",0,0,20,27,194.7,85.57
"27602",0,0,1,1,185,28.54
"45568",0,0,13,14,92,58.21
"28162",0,0,3,5,115,164.12
"25351",0,0,8,4,170,204.92
"46505",0,0,2,1,140,8.37
"44880",0,0,0,0,1.1,0.16
"43818",0,0,2,0,35,10.16
"46717",0,0,27,22,185,115.86
"1326",0,0,4,4,180,175.25
"43477",0,0,2,2,76,2.59
"45923",0,0,0,2,90,2.31
"46630",0,0,1,0,20,0.38
"42216",0,0,0,1,18.7,0.08
"45064",0,0,11,18,0.3,27.61
"50022",0,0,2,9,140,16.51
"35239",0,0,1,0,55,3.14
"48435",0,0,0,0,70,6.48
"42160",0,0,1,3,39,8.97
"42392",0,0,1,5,30,5.2
"45432",0,0,4,6,115,35.08
"43744",0,0,24,16,95,81.67
"45927",0,0,19,20,131,191.49
"46707",0,0,19,23,0.3,27.61
"1565",0,0,16,17,126,72.64
"44382",0,0,2,6,55,47.41
"25663",0,0,0,1,140,8.4
"46766",0,0,14,9,0.3,27.61
"46747",0,0,11,21,145,253.79
"45211",0,0,4,5,19.6,1.17
"46733",0,0,16,8,135,117.96
