"StandID","DWVol_m3perHa_T2_SpruceConif","MeanDecaySwe_T2","MeanDbasal_T2","AgeT2","SprucevolMax100m_2013_m3ha","conn_20km_a2_stand_2009","conn_20km_a1_stand_2009","conn_20km_a02_stand_2009","conn_20km_a01_stand_2009","PrecSum","Temp","LocalConn_amyllapp","LocalConn_antrseri","LocalConn_fomipini","LocalConn_fomirose","LocalConn_gloesepi","LocalConn_phelferr","LocalConn_phelnigr","LocalConn_phelviti","LocalConn_phlecent","LocalConn_tricabie"
1,60.596269015547,2.52941176470588,25.9117647058824,114,354,791.400461585903,2745.87556671583,38361.8404421293,90261.8743187191,450.7566,5.6075,NA,NA,NA,NA,NA,1,NA,1,NA,NA
2,146.529447251724,2.36206896551724,22.4586206896552,112,242,963.390169533983,3170.6808565028,68604.3717065466,176986.091712705,459.89812,5.44905,NA,NA,1,NA,NA,1,NA,NA,NA,1
3,62.6988846723448,2.14705882352941,19.9470588235294,112,219,1398.69230807284,5607.99785106896,99736.5369843322,218543.653740851,458.87895,5.53866,0,1,1,0,0,1,0,0,0,1
4,79.1800524585992,2.22,18.102,122,262,2063.98635456509,6895.38990105611,99926.6205153151,216308.771200102,459.50548,5.29731,NA,NA,1,NA,NA,1,NA,NA,NA,NA
5,63.9093238286406,2.36666666666667,20.8933333333333,122,326,4781.55418598906,16188.3800414184,145718.965449573,261481.684824007,461.64412,5.28366,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
7,187.836148725474,2.53333333333333,26.7816666666667,172,333,588.065130545315,987.919398878994,12284.7852327359,33808.4817716331,435.89204,5.1571,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
9,69.8825664375927,1.95238095238095,27.6619047619048,112,241,1627.38528765624,5781.55076723423,97885.2803010544,214294.958278223,459.50548,5.29731,0,0,0,0,0,0,0,0,0,1
11,105.24950970772,2.07843137254902,21.8274509803922,129,196,2035.09403681727,8524.88490961545,137196.075792471,264161.422580066,461.64412,5.28366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,47.6010474043795,2.41935483870968,19.9677419354839,179,268,2015.41566428765,4458.09964858991,55614.9200100278,140019.284183063,436.09927,3.88143,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,174.093059170403,2.33928571428571,25.9642857142857,157,258,2881.51975598651,6673.40836038866,69845.1213942834,157374.592897125,457.36864,3.91599,1,NA,NA,NA,NA,1,NA,NA,1,NA
16,64.9414561545497,2.05769230769231,18.1865384615385,210,234,1666.51228484087,3673.71838937552,54981.7639508521,144925.811446427,440.72877,3.87657,NA,NA,NA,NA,NA,1,NA,NA,NA,1
18,48.9026174336741,2.41666666666667,22.6125,122,225,321.130502155625,1366.55340713955,30779.231982805,76947.5878721752,415.85162,4.1739,1,NA,NA,1,NA,1,NA,NA,1,NA
20,55.3054129945812,2.46153846153846,19.1769230769231,166,331,726.424210259609,1881.1316661142,22726.4211581519,52904.6333106951,432.23722,4.36019,1,1,1,NA,NA,1,NA,NA,NA,1
21,77.9471578239289,2.10344827586207,24.1275862068966,122,186,381.868199701812,1338.36691248685,28658.1607212269,74611.2732029539,415.85162,4.1739,1,1,0,0,0,1,0,0,1,1
22,94.9271492313048,2.12068965517241,20.4120689655172,166,444,441.182077691438,1556.62882944834,27787.0513035016,58063.2611394575,427.43961,4.26373,NA,1,1,NA,1,1,NA,NA,NA,NA
23,130.118868102138,2.89189189189189,27.7297297297297,197,245,4137.40890188779,8573.74179288214,81873.8075291685,191070.24516765,459.22464,4.02161,1,1,1,1,NA,1,NA,1,1,1
26,35.140779916393,2.26086956521739,21.1304347826087,172,265,3745.01437951498,8063.95187120119,61565.7830491752,137844.727155773,476.86954,2.31873,1,1,1,1,1,1,1,1,0,1
29,45.8884512212535,2.36666666666667,20.8166666666667,172,201,7389.64275348696,16320.1028307258,84383.7329952922,161342.706741183,458.9988,2.18415,1,NA,NA,1,NA,1,NA,NA,NA,NA
33,106.475652964392,2.18,22.954,172,317,1808.50198460733,3539.83434377906,51869.8318847468,120296.139227435,463.08605,2.09694,1,NA,NA,1,NA,1,NA,NA,1,NA
34,39.7012469464577,2.04,20.632,172,258,3102.71565613948,6098.09608630401,49908.9947005726,117389.796296497,482.5609,2.07364,1,1,1,1,0,1,0,1,0,0
37,61.3416641234206,2.15151515151515,20.7515151515152,172,220,3606.48767146052,7864.01251054971,47779.5649076162,112587.408680292,470.46013,1.97156,1,0,0,1,0,1,0,0,0,0
101,73.5882638650031,2.44,28.808,154,321,343.606974926763,1184.37947454252,15159.6236610395,38504.7148289826,426.381,4.4327,1,NA,1,1,NA,1,NA,NA,NA,NA
102,15.01935062928,2.64516129032258,25.3935483870968,112,296,897.111270341391,2847.43218749834,39488.9693092577,90194.325570563,448.70813,5.60479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,5.71982207188204,2.1875,14.14375,194,123,4397.08431118001,13862.9532292414,146713.520397329,281007.810912154,448.46717,1.28768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,70.2675743975449,2.1025641025641,18.5448717948718,194,154,7106.42514146452,15768.3423532703,116485.880569153,258127.474512416,489.88702,1.42927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,3.38349528791621,2,24.5,123,100,149.461632441775,478.632596673766,12486.5619751352,34359.9501908539,422.489,5.17624,0,0,0,0,0,0,0,0,0,0
111,139.472023670774,1.5,29.8026315789474,120,107,504.477510996932,1679.97434005355,19444.2382777948,41713.5214672731,420.79336,5.1096,0,0,1,0,0,0,0,0,0,1
