"StandID","amyllapp_T1","antrseri_T1","fomipini_T1","fomirose_T1","gloesepi_T1","phelferr_T1","phelnigr_T1","phelviti_T1","phlecent_T1","tricabie_T1","amyllapp_T2","antrseri_T2","fomipini_T2","fomirose_T2","gloesepi_T2","phelferr_T2","phelnigr_T2","phelviti_T2","phlecent_T2","tricabie_T2"
1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1
2,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1
3,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1
4,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1
5,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1
7,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1
9,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1
11,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1
14,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1
15,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1
16,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1
18,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1
20,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1
21,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1
22,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1
23,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
26,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1
29,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1
33,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
34,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1
37,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1
101,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1
102,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1
104,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1
105,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1
109,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
111,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
112,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
114,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
116,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
117,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
118,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
122,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
124,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1
125,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
129,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
131,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1
132,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1
133,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
134,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
135,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
136,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
137,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
139,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
143,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
144,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
146,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
147,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1
148,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
150,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1
151,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1
154,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
157,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1
158,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
160,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1
164,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1
166,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
168,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1
171,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
175,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
312,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
314,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
315,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
318,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
325,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
326,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
336,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
339,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1
349,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
363,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1
364,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
365,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1
367,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1
372,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1
